property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
70286,-37.86582,145.087788,7 Tobruk Road,ASHBURTON,DAREBIN,19848,0.71,27,1,41,21,15,8
53982,-37.833165,145.035821,1/39 Callantina Road,HAWTHORN,YARRA,19910,0.778,not available,0,15,7,5,3
33237,-37.737525,145.005072,85 Beauchamp Street,PRESTON,BOROONDARA,20012,0.42,35,1,12,3,2,1
1189,-37.8066139,144.8856201,55 Station Road,SEDDON,EAST GIPPSLAND,20023,0.535,14,1,1,0,0,0
60271,-37.8245697,145.2031403,8 Chasta Crescent,MITCHAM,PORT PHILLIP,19901,1.056,33,1,25,8,5,3
40747,-37.682733,145.054262,5 Daisy Drive,BUNDOORA,WODONGA,20007,3.529,46,1,3,0,0,0
10363,-37.783962,144.92696,3 John Street,FLEMINGTON,WHITTLESEA,20040,0.414,10,1,152,69,45,23
56305,-37.844683,145.107397,19 Monica Street,BURWOOD,MARIBYRNONG,19895,2.406,22,1,22,7,5,3
76159,-37.900913,145.080671,4 Darling Street,HUGHESDALE,BASS COAST,19917,0.673,25,1,0,0,0,0
23037,-37.75236,144.967806,61 The Avenue,COBURG,MOONEE VALLEY,19966,0.577,20,1,41,17,12,6
83149,-37.893814,145.248558,3/11 Kathryn Road,KNOXFIELD,SOUTHERN GRAMPIANS,19868,4.313,46,1,0,0,0,0
17473,-37.6984901,144.9332733,58 Hilda Street,GLENROY,WYNDHAM,20032,1.564,28,1,99,43,33,20
67439,-37.76441,145.368031,4 Rose Court,LILYDALE,FRANKSTON,19876,2.042,51,1,3,3,2,1
96894,-38.012642,145.281984,5 Eleanore Crescent,HALLAM,GLEN EIRA,19885,1.21,50,1,15,4,2,1
12860,-37.715284,144.776502,2A Hoy Court,DELAHEY,BULOKE,20000,1.587,34,1,0,0,0,0
43448,-37.704086,145.085897,11 Peters Street,WATSONIA,MANNINGHAM,19984,0.786,42,1,11,6,4,2
1227,-37.809049,144.891226,59 Hotham Street,SEDDON,EAST GIPPSLAND,19997,0.391,not available,0,1,0,0,0
54720,-37.814507,145.020773,7A Lawes St,HAWTHORN,YARRA,19905,0.835,10,1,15,7,5,3
7541,-37.731993,144.823565,50 Driscolls Road,KEALBA,BASS COAST,20002,2.515,28,1,0,0,0,0
50249,-37.761762,145.089588,44 Carrathool Street,BULLEEN,MARIBYRNONG,19935,2.594,34,1,22,7,5,3
27220,-37.592881,144.924232,51 Rokeby Crescent,CRAIGIEBURN,YARRA RANGES,40221,1.953,41,1,5,3,2,1
74465,-37.885778,145.065709,10 Anzac Street,CARNEGIE,MELBOURNE,19919,0.513,21,1,23,11,8,5
65456,-37.798875,145.315603,64 Birkenhead Drive,KILSYTH,SURF COAST,19877,1.596,46,1,1,0,0,0
62989,-37.832664,145.243608,5 Mountain View Road,HEATHMONT,HORSHAM,19871,0.49,37,1,0,0,0,0
20224,-37.795346,144.972498,73 Kay Street,CARLTON,STRATHBOGIE,19843,1.747,2,1,0,0,0,0
55253,-37.846436,145.074734,2/6 Collings Street,CAMBERWELL,MELBOURNE,19850,0.282,23,1,23,11,8,5
15164,-37.728494,144.916604,26 Roslyn Street,STRATHMORE,KNOX,20034,1.05,23,1,23,5,3,2
94764,-37.926136,145.037614,134 Patterson Road,BENTLEIGH,HOBSONS BAY,19938,0.218,32,1,20,14,15,10
90297,-37.959188,145.061095,21 Leon Street,CHELTENHAM,YARRA RANGES,19866,1.008,40,1,5,3,2,1
21523,-37.7588396,144.9581533,72 Tinning Street,BRUNSWICK,MARIBYRNONG,19967,0.348,18,1,22,7,5,3
50334,-37.760191,145.090299,6 Pilbara Mews,BULLEEN,MARIBYRNONG,19935,2.626,34,1,22,7,5,3
41002,-37.7136688,145.0374603,62 Dunne Street,KINGSBURY,ALPINE,20009,2.541,41,1,0,0,0,0
55416,-37.8251686,145.0653381,27A Stanhope Grove,CAMBERWELL,MELBOURNE,19892,0.263,18,1,23,11,8,5
82055,-37.9930496,145.2416534,29 Tristania Street,DOVETON,HINDMARSH,19888,2.819,45,1,0,0,0,0
11706,-37.718874,144.828406,14 Greengully Road,KEILOR,ARARAT,20001,3.261,30,1,0,0,0,0
42848,-37.718128,145.072716,14 Skye Street,MACLEOD,WANGARATTA,19983,0.931,39,1,0,0,0,0
10645,-37.791373,144.93379,51 Smith Street,KENSINGTON,SOUTH GIPPSLAND,19972,0.384,9,1,2,0,0,0
7763,-37.778184,144.800535,19 Rockbank Road,ARDEER,SWAN HILL,20004,2.125,23,1,1,0,0,0
19925,-37.778089,144.941219,20 Cade Way,PARKVILLE,MURRINDINDI,19970,1.033,13,1,0,0,0,0
12109,-37.696321,144.751211,10 Joseph Drive,HILLSIDE,GREATER DANDENONG,20000,2.09,34,1,36,9,6,3
16307,-37.694959,144.928154,106 Bindi Street,GLENROY,WYNDHAM,20031,1.083,30,1,99,43,33,20
54879,-37.846307,145.084281,10 Tyne Street,CAMBERWELL,MELBOURNE,19849,0.672,25,1,23,11,8,5
84112,-37.854741,144.994719,5 Primrose Street,WINDSOR,MAROONDAH,19957,0.277,not available,0,23,3,2,1
31354,-37.75875,144.988154,58 Leinster Grove,THORNBURY,LATROBE,20015,0.983,29,1,2,2,1,0
84756,-37.879555,144.988846,20 Rothesay Avenue,ELWOOD,MORELAND,19955,0.692,not available,0,111,50,47,25
97041,-38.0157852,145.2834168,8 Buckeye Drive,HALLAM,GLEN EIRA,19885,1.215,50,1,15,4,2,1
73569,-37.8445702,145.304306,34 Beresford Drive,BORONIA,TOWONG,19869,2.485,44,1,0,0,0,0
69396,-37.8670006,145.0901184,1/4 Hudson Court,ASHBURTON,DAREBIN,19839,0.824,not available,0,41,21,15,8
88359,-37.955291,145.045739,1/32 Princess Avenue,HIGHETT,GREATER DANDENONG,19872,0.835,37,1,36,9,6,3
10436,-37.7862091,144.9229279,34 Crown Street,FLEMINGTON,WHITTLESEA,20040,0.546,10,1,152,69,45,23
45694,-37.678607,145.120903,6 Plenty Heights Court,PLENTY,NILLUMBIK,19985,3.03,46,1,4,1,1,1
92120,-37.9803734,145.0898895,20 Delville Avenue,MENTONE,WEST WIMMERA,19864,1.846,45,1,0,0,0,0
64464,-37.78534,145.267484,40 Binbrook Drive,CROYDON,CARDINIA,19878,1.609,42,1,25,10,5,3
56604,-37.848028,145.129927,34 Greenwood Street,BURWOOD,MARIBYRNONG,19875,3.032,not available,0,22,7,5,3
4747,-37.841374,144.875003,98 Mason Street,NEWPORT,MANSFIELD,19994,0.77,not available,0,0,0,0,0
77607,-37.9283981,145.1753693,19 Lotus Crescent,MULGRAVE,MACEDON RANGES,19913,3.034,35,1,1,1,1,0
15352,-37.726703,144.917838,49 Mascoma Street,STRATHMORE,KNOX,20034,1.016,23,1,23,5,3,2
61717,-37.810291,145.237304,3 Georges Road,RINGWOOD,MACEDON RANGES,19902,0.961,35,1,1,1,1,0
38145,-37.770624,145.019893,241 Station Street,FAIRFIELD,NILLUMBIK,19930,0.986,26,1,4,1,1,1
5752,-37.789683,144.855492,37 Joy Street,BRAYBROOK,HUME,20022,1.249,16,1,332,214,155,80
26976,-37.59478,144.9306641,44 Wattleglen Street,CRAIGIEBURN,YARRA RANGES,40221,1.362,41,1,5,3,2,1
49415,-37.806972,145.101352,327 Union Road,BALWYN,HOBSONS BAY,19896,1.433,25,1,20,14,15,10
58233,-37.835291,145.157082,6 Darook Street,BLACKBURN SOUTH,MILDURA,19898,1.803,27,1,0,0,0,0
34690,-37.708595,145.009893,32 Macartney Street,RESERVOIR,EAST GIPPSLAND,20009,0.084,41,1,1,0,0,0
10000,-37.7817209,144.9318159,12 Marwick Street,FLEMINGTON,WHITTLESEA,20040,0.671,10,1,152,69,45,23
14196,-37.745497,144.906676,28 William Street,ESSENDON,NILLUMBIK,20036,1.268,19,1,4,1,1,1
38904,-37.767776,145.034532,43 Miles Street,IVANHOE,BASS COAST,19932,0.871,29,1,0,0,0,0
64532,-37.799876,145.265925,47 Mount Dandenong Road,CROYDON,CARDINIA,19878,1.38,42,1,25,10,5,3
24190,-37.694073,144.970121,23 Alec Crescent,FAWKNER,MONASH,19961,1.232,29,1,16,4,3,2
79098,-37.9532928,145.1529388,42 Union Grove,SPRINGVALE,GREATER BENDIGO,19913,0.423,35,1,0,0,0,0
54001,-37.817281,145.037388,10 Johnson  Street,HAWTHORN,YARRA,19904,0.473,12,1,15,7,5,3
36351,-37.664707,145.020001,28 Newton Crescent,LALOR,KINGSTON,20006,0.278,48,1,13,4,2,1
46706,-37.704174,145.169731,17 Morden Place,ELTHAM,FRANKSTON,19987,2.191,52,1,3,3,2,1
67395,-37.739545,145.341119,37 Benito Court,LILYDALE,FRANKSTON,19876,1.868,51,1,3,3,2,1
74101,-37.855179,145.296484,Unit 2/71 Albert Avenue,BORONIA,TOWONG,19869,1.213,44,1,0,0,0,0
62392,-37.810284,145.218275,9 Poynton Avenue,RINGWOOD,MACEDON RANGES,19901,1.072,33,1,1,1,1,0
34493,-37.7210388,144.9975281,27 Pine Street,RESERVOIR,EAST GIPPSLAND,20011,0.94,37,1,1,0,0,0
34560,-37.728869,145.026579,2A McComas Street,RESERVOIR,EAST GIPPSLAND,20011,2.094,37,1,1,0,0,0
39752,-37.718396,145.037063,15 Scott Grove,KINGSBURY,ALPINE,20010,2.65,40,1,0,0,0,0
78061,-37.930823,145.164867,41 Glencairn Street,MULGRAVE,MACEDON RANGES,19913,2.306,35,1,1,1,1,0
84079,-37.85773,145.009587,48 Larnook Street,PRAHRAN,BOROONDARA,19946,0.862,14,1,12,3,2,1
